id,id_taxonref,plot_name,taxaname,taxonref,family,genus,species,infra,id_rank,dbh,height,strata,flower,fruit,month_obs,bark_thickness,leaf_area,leaf_ldmc,leaf_sla,leaf_thickness,wood_density,elevation,rainfall,holdridge,province,in_forest,in_um,geo_pt
4589,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,7,,,,,,,525,1930,2,,false,true,POINT (165.1178515 -21.2417249)
4598,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,12,,,,,,,72,1610,,,false,false,POINT (165.8265424 -21.3973133)
4593,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,8,,,,,,,504,2570,3,,false,false,POINT (165.474915186564 -21.2379060427348)
4586,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,6,,,,,,,439,2730,3,,false,false,POINT (165.077004432678 -20.8589854982164)
4587,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,20,,false,false,6,,,,,,,467,2730,3,,false,false,POINT (165.0778167 -20.8586389)
4599,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,7,,false,false,3,,,,,,,331,2300,2,,false,true,POINT (166.2 -21.68333)
4584,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,6,,false,false,6,,,,,,,571,2550,3,,false,false,POINT (165.0578611 -20.8570833)
4583,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,6,,,,,,,571,2550,3,,false,false,POINT (165.057860898972 -20.8570852279663)
4585,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,6,,,,,,,290,2280,2,,false,true,POINT (165.075815264384 -20.8650583902995)
4595,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,8,,,,,,,553,1970,2,,false,false,POINT (165.4998453 -21.4187201)
4600,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,22,,false,false,3,,,,,,,545,2300,2,,false,true,POINT (166.21667 -21.68333)
4591,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,7,,,,,,,1004,2580,3,,false,true,POINT (165.1548947 -21.2411851)
4594,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,8,,,,,,,500,2670,3,,false,false,POINT (165.477055935633 -21.2368939513252)
4644,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,10,,false,false,3,,,,,,,377,2420,2,,false,true,POINT (166.66667 -22.2)
4602,1697,,Agathis lanceolata,Agathis lanceolata Lindl. ex Warb.,Araucariaceae,Agathis,Agathis lanceolata,,21,,,,false,false,3,,,,,,,545,2300,2,,false,true,POINT (166.21667 -21.68333)
